Позиция,Имя,UPR,СМИ,ЭКС,ЗД,Общий
1,Корниенко Александр,0,44,0,43,87
2,Монастырский Денис,0,37,0,49,86
3,Кравчук Евгения,0,48,0,36,84
4,Разумков Дмитрий,0,41,0,42,83
5,Ивченко Вадим,0,38,0,44,82
6,Гончаренко Алексей,0,45,0,34,79
7,Федина София,0,42,0,37,79
8,Качура Александр,0,29,0,47,76
9,Дубинский Александр,0,32,0,40,72
10,Кучер Алексей,0,46,0,25,71
11,Поляков Антон,0,50,0,18,68
12,Железняк Ярослав,0,34,0,32,66
13,Безгин Виталий,0,14,0,50,64
14,Крулько Иван,0,20,0,41,61
15,Герус Андрей,0,30,0,30,60
16,Бардина Марина,0,39,0,17,56
17,Наталуха Дмитрий,0,8,0,48,56
18,Мовчан Алексей,0,35,0,21,56
19,Янченко Галина,0,36,0,19,55
20,Василевская Ольга,0,31,0,24,55
21,Бобровская Соломия,0,27,0,26,53
22,Лозинський Роман,0,24,0,28,52
23,Кабаченко Владимир,0,12,0,39,51
24,Пидласа Роксолана,0,5,0,46,51
25,Столар Вадим,0,49,0,1,50
26,Юраш Святослав,0,21,0,29,50
27,Волошин Олег,0,47,0,2,49
28,Юрчишин Ярослав,0,22,0,27,49
29,Шкрум Алена,0,10,0,38,48
30,Культенко Артем,0,3,0,45,48
31,Грищук Роман,0,33,0,14,47
32,Довгый Олесь,0,43,0,3,46
33,Скороход Анна,0,40,0,5,45
34,Скичко Александр,0,19,0,23,42
35,Устенко Алексей,0,26,0,15,41
36,Лубинец Дмитрий,0,7,0,33,40
37,Мотовиловец Андрей,0,4,0,35,39
38,Беленюк Жан,0,28,0,9,37
39,Заблоцкий Марьян,0,15,0,22,37
40,Стефанишина Ольга,0,23,0,12,35
41,Колтунович Александр,0,13,0,20,33
42,Камельчук Юрий,0,2,0,31,33
43,Мокан Василий,0,16,0,16,32
44,Совсун Инна,0,17,0,13,30
45,Ясько Елизавета,0,25,0,4,29
46,Плачкова Татьяна,0,18,0,7,25
47,Дунда Олег,0,11,0,11,22
48,Кицак Богдан,0,9,0,10,19
49,Горенюк Александр,0,6,0,6,12
50,Крейденко Владимир,0,1,0,8,9
